학교ID,학교명,전화번호,설립유형,학생수,학생수남,학생수여,교원수,교원수남,교원수여,공시연도
B000001927,이화여자대학교사범대학부속초등학교,,부속,624,312,312,49,6,43,2025
B000001928,추계초등학교,,단설,358,182,176,26,6,20,2025
B000001929,명지초등학교,,단설,710,342,368,34,6,28,2025
B000001930,서울공덕초등학교,02-712-1365,단설,688,354,334,57,4,53,2025
B000001931,서울창천초등학교,02-715-6381,단설,144,69,75,23,5,18,2025
B000001932,서울용강초등학교,02-717-1660,병설,513,253,260,42,3,39,2025
B000001933,서울마포초등학교,02-712-0662,단설,659,348,311,50,4,46,2025
B000001934,서울동교초등학교,02-324-2775,단설,619,297,322,52,3,49,2025
B000001935,서울망원초등학교,02-334-5446,단설,175,97,78,21,4,17,2025
B000001936,서울서강초등학교,,단설,1009,552,457,75,8,67,2025
B000001937,서울하늘초등학교,02-305-7772,병설,340,181,159,34,1,33,2025
B000001938,서울서교초등학교,02-324-2875,단설,296,154,142,29,3,26,2025
B000001939,서울성원초등학교,02-305-7241,단설,228,110,118,23,2,21,2025
B000001940,서울성서초등학교,02-3141-9548,단설,390,191,199,37,5,32,2025
B000001941,서울중동초등학교,02-373-4693,단설,394,188,206,36,2,34,2025
B000001942,서울신석초등학교,,단설,540,272,268,42,2,40,2025
B000001943,서울아현초등학교,02-312-3949,단설,633,327,306,50,7,43,2025
B000001944,서울소의초등학교,02-363-0239,단설,386,199,187,33,3,30,2025
B000001945,서울한서초등학교,02-715-0954,단설,809,382,427,66,9,57,2025
B000001946,서울염리초등학교,02-715-4441,단설,1330,626,704,93,5,88,2025
B000001947,서울신북초등학교,02-303-6885,단설,585,286,299,44,7,37,2025
B000001948,서울성산초등학교,02-324-1407,단설,576,278,298,45,5,40,2025
B000001949,서울상지초등학교,02-303-4905,단설,501,283,218,44,2,42,2025
B000001950,서울상암초등학교,023758893,단설,430,234,196,45,6,39,2025
B000001951,홍익대학교사범대학부속초등학교,,부속,477,236,241,43,9,34,2025
B000001952,서울천왕초등학교,02-6343-4303,단설,488,268,220,47,12,35,2025
B000001953,서울영일초등학교,02-861-0428,단설,267,149,118,32,6,26,2025
B000001954,서울미래초등학교,02-868-1982,병설,447,228,219,38,5,33,2025
B000001955,서울고원초등학교,,단설,536,258,278,38,4,34,2025
B000001956,서울고산초등학교,02-2617-0591,단설,377,197,180,37,3,34,2025
B000001957,서울개웅초등학교,02-2683-1292,단설,390,201,189,36,4,32,2025
B000001958,서울개명초등학교,02-2684-5116,단설,293,138,155,26,5,21,2025
B000001959,서울온수초등학교,02-2684-5287,단설,667,329,338,53,9,44,2025
B000001960,서울매봉초등학교,02-2683-3382,단설,188,92,96,26,4,22,2025
B000001961,서울개봉초등학교,02-2613-0936,단설,868,432,436,68,18,50,2025
B000001962,서울고척초등학교,02-2618-6213,단설,514,272,242,44,10,34,2025
B000001963,서울덕의초등학교,,단설,743,371,372,54,9,45,2025
B000001964,서울세곡초등학교,02-2685-9188,단설,382,189,193,38,4,34,2025
B000001965,서울동구로초등학교,02-855-1196,단설,324,171,153,37,7,30,2025
B000001966,서울신구로초등학교,,단설,406,210,196,37,2,35,2025
B000001967,서울영서초등학교,02-838-5214,병설,540,279,261,53,4,49,2025
B000001968,서울구로남초등학교,02-855-1425,단설,361,200,161,36,6,30,2025
B000001969,서울구로초등학교,02-861-1942,단설,364,176,188,35,4,31,2025
B000001970,서울구일초등학교,02-869-9102,병설,909,441,468,80,12,68,2025
B000001971,서울신미림초등학교,02-2676-8644,단설,799,392,407,57,5,52,2025
B000001972,서울신도림초등학교,,단설,1116,584,532,75,8,67,2025
B000001973,서울오류초등학교,02-2612-6120,단설,563,293,270,43,5,38,2025
B000001974,서울오정초등학교,02-2687-3165,단설,292,135,157,26,7,19,2025
B000001975,서울오류남초등학교,02-2614-6045,단설,526,265,261,50,8,42,2025
B000001976,서울두산초등학교,,단설,540,265,275,43,9,34,2025
B000001977,서울문교초등학교,02-895-3279,단설,244,122,122,25,4,21,2025
B000001978,서울영남초등학교,02-861-7148,단설,181,93,88,24,3,21,2025
B000001979,서울금동초등학교,02-809-1045,단설,529,267,262,42,7,35,2025
B000001980,서울문백초등학교,02-892-2697,단설,474,246,228,39,12,27,2025
B000001981,서울신흥초등학교,894-5149,단설,430,204,226,35,6,29,2025
B000001982,서울가산초등학교,02-864-4089,단설,265,132,133,25,3,22,2025
B000001983,서울정심초등학교,02-856-2677,단설,255,127,128,29,5,24,2025
B000001984,서울문성초등학교,02-866-3660,단설,345,196,149,40,4,36,2025
B000001985,서울독산초등학교,02-895-0533,단설,455,233,222,39,6,33,2025
B000001986,서울안천초등학교,02-894-0857,단설,173,88,85,25,4,21,2025
B000001987,서울금천초등학교,02-802-7293,단설,127,63,64,20,4,16,2025
B000001988,서울탑동초등학교,,단설,398,215,183,34,5,29,2025
B000001989,서울백산초등학교,02-803-8812,병설,209,109,100,20,3,17,2025
B000001990,서울금산초등학교,02-806-0250,단설,232,113,119,21,4,17,2025
B000001992,서울시흥초등학교,02-802-0129,단설,367,198,169,39,6,33,2025
B000001993,동광초등학교,,단설,466,222,244,54,12,42,2025
B000001994,서울여의도초등학교,,단설,846,424,422,72,6,66,2025
B000001995,서울영원초등학교,02-831-6691,단설,445,244,201,36,4,32,2025
B000001996,서울영중초등학교,02-2633-7844,단설,368,185,183,35,4,31,2025
B000001997,서울영동초등학교,02-2635-0576,단설,368,199,169,37,3,34,2025
B000001998,서울당서초등학교,,단설,1167,587,580,73,9,64,2025
B000001999,서울도림초등학교,02-832-0969,단설,277,135,142,35,3,32,2025
B000002000,서울대동초등학교,,단설,332,198,134,43,4,39,2025
B000002001,서울영등포초등학교,,단설,264,140,124,29,4,25,2025
B000002002,서울영문초등학교,,단설,1018,522,496,77,2,75,2025
B000002003,서울선유초등학교,02-2068-7022,단설,283,145,138,23,4,19,2025
B000002004,서울당중초등학교,02-2633-0149,단설,552,294,258,43,3,40,2025
B000002005,서울도신초등학교,02-835-1504,병설,191,86,105,25,3,22,2025
B000002006,서울신영초등학교,02-833-2583,단설,380,180,200,35,4,31,2025
B000002007,서울신대림초등학교,02-849-0738,단설,313,166,147,40,4,36,2025
B000002008,서울영림초등학교,,단설,199,95,104,20,3,17,2025
B000002009,서울문래초등학교,02-2677-6862,단설,983,515,468,68,5,63,2025
B000002010,서울영신초등학교,02-843-5905,단설,787,416,371,63,6,57,2025
B000002011,서울대영초등학교,,단설,954,489,465,70,9,61,2025
B000002012,서울우신초등학교,02-833-6420,병설,198,97,101,25,3,22,2025
B000002013,서울대방초등학교,02-833-0083,단설,1321,684,637,95,7,88,2025
B000002014,서울대길초등학교,02-842-3500,단설,324,184,140,34,5,29,2025
B000002015,서울당산초등학교,02-2633-3850,단설,288,148,140,30,5,25,2025
B000002016,서울윤중초등학교,,단설,396,207,189,32,4,28,2025
B000002017,서울초당초등학교,02-956-1562,단설,728,397,331,55,6,49,2025
B000002018,서울신학초등학교,02-956-4163,단설,329,166,163,33,9,24,2025
B000002019,서울창경초등학교,02-995-5264,단설,733,368,365,49,8,41,2025
B000002020,서울창림초등학교,02-992-8635,단설,733,396,337,57,11,46,2025
B000002021,서울누원초등학교,02-955-5163,단설,654,318,336,53,14,39,2025
B000002022,서울오봉초등학교,02-3491-6692,단설,236,111,125,28,6,22,2025
B000002023,서울도봉초등학교,,,264,141,123,28,6,22,2025
B000002024,서울방학초등학교,02-2076-3600,단설,436,235,201,38,6,32,2025
B000002025,서울신방학초등학교,02-956-6504,단설,277,135,142,25,6,19,2025
B000002026,서울창도초등학교,02-3492-0009,단설,630,310,320,47,13,34,2025
B000002027,서울숭미초등학교,02-904-9579,단설,512,259,253,45,5,40,2025
B000002028,서울쌍문초등학교,02-992-5673,단설,514,269,245,40,5,35,2025
B000002029,서울백운초등학교,992-5139,단설,633,343,290,52,10,42,2025
B000002030,서울월천초등학교,02-903-9598,단설,300,157,143,27,6,21,2025
B000002031,서울자운초등학교,02-908-0383,단설,567,298,269,40,10,30,2025
B000002032,서울가인초등학교,02-997-5827,단설,323,170,153,31,6,25,2025
B000002033,서울창동초등학교,02-998-0585,단설,302,168,134,27,6,21,2025
B000002034,서울창원초등학교,02-991-9169,단설,251,132,119,24,6,18,2025
B000002035,서울창일초등학교,02-996-9168,단설,690,350,340,47,7,40,2025
B000002036,서울신창초등학교,02-906-7183,단설,217,94,123,21,3,18,2025
B000002037,서울신화초등학교,02-992-9031,단설,311,154,157,33,5,28,2025
B000002038,동북초등학교,02-993-0116,단설,765,387,378,32,13,19,2025
B000002039,한신초등학교,02-901-7503,단설,633,320,313,58,13,45,2025
B000002040,서울신계초등학교,02-902-0008,단설,170,95,75,24,3,21,2025
B000002041,서울녹천초등학교,02-977-0588,단설,174,94,80,20,5,15,2025
B000002042,서울덕암초등학교,,단설,520,253,267,39,6,33,2025
B000002043,서울온곡초등학교,02-937-7135,단설,470,253,217,35,6,29,2025
B000002044,서울상원초등학교,02-938-1157,단설,306,157,149,29,6,23,2025
B000002045,서울불암초등학교,02-932-5583,단설,704,361,343,50,5,45,2025
B000002046,서울수암초등학교,02-3392-4127,단설,445,247,198,38,6,32,2025
B000002047,서울중계초등학교,02-934-8850,단설,723,359,364,50,10,40,2025
B000002048,서울연촌초등학교,,단설,429,225,204,40,8,32,2025
B000002049,서울태랑초등학교,02-978-8364,단설,817,417,400,60,9,51,2025
B000002050,서울태릉초등학교,02-976-1433,단설,771,395,376,54,14,40,2025
B000002051,서울공연초등학교,02-3399-2199,단설,392,194,198,33,7,26,2025
B000002052,서울용원초등학교,02-948-5305,단설,476,241,235,36,7,29,2025
B000002053,서울공릉초등학교,02-949-0216,단설,266,123,143,28,6,22,2025
B000002054,서울신상계초등학교,02-937-5805,단설,381,198,183,35,7,28,2025
B000002055,서울상계초등학교,02-936-6860,단설,207,97,110,25,4,21,2025
B000002056,서울계상초등학교,,단설,329,164,165,28,5,23,2025
B000002057,서울상곡초등학교,02-935-9204,단설,458,226,232,37,9,28,2025
B000002058,서울상월초등학교,,단설,154,75,79,17,3,14,2025
B000002059,서울당현초등학교,02-932-0604,단설,389,205,184,36,8,28,2025
B000002060,서울상천초등학교,02-938-0205,단설,296,144,152,28,5,23,2025
B000002061,서울동일초등학교,02-935-8224,단설,484,268,216,36,8,28,2025
B000002062,서울노원초등학교,02-939-1746,단설,219,110,109,25,6,19,2025
B000002063,서울노일초등학교,02-951-4393,단설,403,193,210,39,11,28,2025
B000002064,서울수락초등학교,02-939-0077,단설,393,192,201,28,8,20,2025
B000002065,서울한천초등학교,02-978-3442,단설,604,325,279,43,9,34,2025
B000002066,서울연지초등학교,02-971-9083,단설,227,115,112,23,4,19,2025
B000002067,서울선곡초등학교,02-918-2566,단설,514,257,257,46,8,38,2025
B000002068,서울월계초등학교,02-999-2382,단설,270,125,145,25,7,18,2025
B000002069,서울원광초등학교,02-951-3359,단설,684,367,317,45,8,37,2025
B000002070,서울을지초등학교,02-2092-2300,단설,1383,737,646,80,11,69,2025
B000002071,서울중원초등학교,02-948-1707,단설,342,170,172,29,7,22,2025
B000002072,서울청계초등학교,02-949-2818,단설,185,93,92,23,3,20,2025
B000002073,서울용동초등학교,02-948-0865,단설,199,95,104,26,3,23,2025
B000002074,서울중현초등학교,02-6222-2601,단설,101,57,44,16,3,13,2025
B000002075,서울중평초등학교,,단설,1181,607,574,81,15,66,2025
B000002076,서울상경초등학교,070-5012-7914,병설,527,269,258,42,7,35,2025
B000002077,서울상수초등학교,,단설,449,237,212,38,8,30,2025
B000002078,청원초등학교,02-3399-7994,단설,719,361,358,47,17,30,2025
B000002079,태강삼육초등학교,,단설,737,363,374,29,2,27,2025
B000002080,화랑초등학교,,,628,314,314,64,16,48,2025
B000002081,상명초등학교,02-3788-3300,단설,720,353,367,28,12,16,2025
B000002082,서울대학교사범대학부설초등학교,02-768-1552,부설,570,284,286,47,15,32,2025
B000002083,서울청운초등학교,02-735-1924,단설,313,156,157,36,2,34,2025
B000002084,서울매동초등학교,02-737-5083,단설,166,77,89,20,3,17,2025
B000002085,서울재동초등학교,02-763-1813,단설,153,69,84,17,3,14,2025
B000002086,서울교동초등학교,02-763-6626,단설,140,72,68,20,2,18,2025
B000002087,서울혜화초등학교,02-763-0606,병설,351,170,181,38,6,32,2025
B000002088,서울명신초등학교,,단설,223,122,101,27,4,23,2025
B000002089,서울독립문초등학교,02-737-4684,단설,430,191,239,43,3,40,2025
B000002091,서울세검정초등학교,02-394-5005,단설,689,356,333,56,8,48,2025
B000002092,서울창신초등학교,02-763-3161,단설,284,131,153,35,2,33,2025
B000002093,서울효제초등학교,02-742-5760,단설,166,90,76,26,2,24,2025
B000002094,운현초등학교,02-765-0895,단설,163,76,87,19,5,14,2025
B000002095,상명대학교사범대학부속초등학교,02-379-8033,부속,338,173,165,22,8,14,2025
B000002096,서울남산초등학교,02-2097-9572,단설,195,87,108,23,4,19,2025
B000002097,서울덕수초등학교,02-738-4550,병설,381,193,188,43,3,40,2025
B000002098,서울봉래초등학교,02-392-3485,단설,404,226,178,43,4,39,2025
B000002099,서울광희초등학교,02-2238-3918,병설,243,123,120,26,3,23,2025
B000002100,서울장충초등학교,,단설,308,146,162,33,2,31,2025
B000002101,서울신당초등학교,,단설,301,157,144,32,5,27,2025
B000002102,서울흥인초등학교,02-2232-5595,단설,350,172,178,39,5,34,2025
B000002103,서울청구초등학교,02-751-2213,단설,413,218,195,49,5,44,2025
B000002104,서울충무초등학교,,단설,142,90,52,26,0,26,2025
B000002105,리라초등학교,02-777-7465,단설,497,237,260,22,5,17,2025
B000002106,숭의초등학교,02-3708-9406,단설,518,254,264,22,10,12,2025
B000002107,동산초등학교,0222527654,단설,528,255,273,24,7,17,2025
B000002108,서울용산초등학교,,단설,341,170,171,34,1,33,2025
B000002109,서울원효초등학교,,단설,410,184,226,39,2,37,2025
B000002110,서울청파초등학교,02-3272-9041,단설,331,164,167,35,3,32,2025
B000002111,서울후암초등학교,,단설,230,118,112,27,5,22,2025
B000002112,서울이태원초등학교,02-793-6056,단설,257,130,127,34,5,29,2025
B000002113,서울서빙고초등학교,02-795-9282,병설,372,184,188,36,2,34,2025
B000002114,서울용암초등학교,,단설,112,59,53,17,4,13,2025
B000002116,서울한강초등학교,02-795-1949,단설,169,84,85,29,2,27,2025
B000002117,서울한남초등학교,02-749-2373,단설,224,122,102,27,4,23,2025
B000002118,서울금양초등학교,02-703-9841,단설,567,279,288,54,5,49,2025
B000002119,서울삼광초등학교,02-775-5588,단설,336,187,149,34,3,31,2025
B000002120,서울남정초등학교,,병설,204,105,99,33,2,31,2025
B000002121,서울신용산초등학교,,단설,1304,692,612,96,12,84,2025
B000002122,신광초등학교,,단설,348,172,176,34,8,26,2025
B000002123,서울방이초등학교,,단설,491,275,216,40,3,37,2025
B000002124,서울가락초등학교,02-3402-1135,단설,1133,590,543,88,12,76,2025
B000002125,서울평화초등학교,024432749,단설,149,78,71,20,2,18,2025
B000002126,서울중대초등학교,02-422-7237,단설,971,519,452,71,1,70,2025
B000002127,서울문덕초등학교,02-409-9818,단설,462,230,232,44,1,43,2025
B000002128,서울문정초등학교,02-404-7857,단설,737,358,379,62,4,58,2025
B000002129,서울가원초등학교,02-405-4577,단설,599,300,299,44,5,39,2025
B000002130,서울문현초등학교,02-402-9170,단설,707,366,341,57,5,52,2025
B000002131,서울잠일초등학교,02-413-2650,병설,1524,798,726,89,4,85,2025
B000002132,서울잠신초등학교,024123285,단설,1364,726,638,85,9,76,2025
B000002133,서울송전초등학교,02-420-6020,단설,721,344,377,52,2,50,2025
B000002134,서울잠동초등학교,,단설,827,412,415,53,3,50,2025
B000002135,서울잠실초등학교,0234323571,단설,864,464,400,74,8,66,2025
B000002136,서울잠현초등학교,02-415-8100,단설,739,382,357,51,7,44,2025
B000002137,서울신가초등학교,02-401-7626,단설,544,273,271,45,4,41,2025
B000002138,서울가주초등학교,02-3401-0444,단설,735,363,372,57,3,54,2025
B000002139,서울가동초등학교,024485766,단설,674,360,314,56,5,51,2025
B000002140,서울영풍초등학교,,병설,581,295,286,54,5,49,2025
B000002141,서울거원초등학교,02-6919-3710,단설,548,287,261,44,6,38,2025
B000002142,서울남천초등학교,02-3401-6962,단설,230,112,118,28,4,24,2025
B000002143,서울마천초등학교,02-406-0677,단설,620,317,303,46,5,41,2025
B000002144,서울오륜초등학교,02-407-4129,단설,510,265,245,38,3,35,2025
B000002145,서울세륜초등학교,02-443-9564,단설,609,317,292,41,3,38,2025
B000002146,서울방산초등학교,02-414-5862,단설,597,299,298,41,3,38,2025
B000002147,서울삼전초등학교,02-415-4850,단설,517,253,264,49,3,46,2025
B000002148,서울석촌초등학교,02-416-4074,단설,550,287,263,48,4,44,2025
B000002149,서울송파초등학교,02-414-7371,단설,466,249,217,37,3,34,2025
B000002150,서울오금초등학교,,단설,600,304,296,48,2,46,2025
B000002151,서울거여초등학교,02-2160-5410,단설,654,351,303,52,4,48,2025
B000002152,서울개롱초등학교,,단설,275,153,122,32,2,30,2025
B000002153,서울잠전초등학교,,단설,429,223,206,40,3,37,2025
B000002154,서울풍납초등학교,02-477-9121,단설,279,149,130,35,3,32,2025
B000002155,서울토성초등학교,02-475-5039,단설,577,324,253,48,2,46,2025
B000002156,서울풍성초등학교,02-483-0584,단설,261,133,128,28,4,24,2025
B000002157,서울아주초등학교,02-416-8389,단설,349,177,172,30,4,26,2025
B000002158,서울버들초등학교,02-2203-6416,단설,884,440,444,58,2,56,2025
B000002159,서울신천초등학교,02-423-1601,단설,395,206,189,37,3,34,2025
B000002160,서울둔촌초등학교,,단설,973,507,466,61,5,56,2025
B000002161,서울선린초등학교,,단설,435,241,194,38,4,34,2025
B000002162,서울고명초등학교,02-3428-5112,단설,803,451,352,58,7,51,2025
B000002163,서울묘곡초등학교,02-427-3900,단설,1336,750,586,92,10,82,2025
B000002164,서울강일초등학교,02-3426-6474,단설,550,293,257,42,5,37,2025
B000002165,서울고덕초등학교,02-426-2768,단설,660,342,318,45,7,38,2025
B000002166,서울강덕초등학교,02-426-0875,단설,1154,615,539,76,10,66,2025
B000002167,서울명덕초등학교,02-441-2156,단설,1637,872,765,92,9,83,2025
B000002168,서울신명초등학교,,단설,482,255,227,38,4,34,2025
B000002169,서울길동초등학교,,단설,559,290,269,50,6,44,2025
B000002170,서울천동초등학교,,단설,664,346,318,53,2,51,2025
B000002171,서울한산초등학교,,단설,588,301,287,47,7,40,2025
B000002172,서울위례초등학교,02-473-4998,단설,1023,572,451,61,9,52,2025
B000002173,서울명원초등학교,02-428-2432,단설,666,356,310,44,8,36,2025
B000002174,서울대명초등학교,02-481-7871,단설,713,343,370,51,6,45,2025
B000002175,서울고일초등학교,,단설,1856,914,942,95,11,84,2025
B000002176,서울상일초등학교,,단설,167,96,71,22,3,19,2025
B000002177,서울강명초등학교,,단설,474,231,243,42,3,39,2025
B000002178,서울성일초등학교,024754053,단설,864,491,373,75,11,64,2025
B000002179,서울성내초등학교,02-470-6353,단설,737,396,341,68,11,57,2025
B000002180,서울명일초등학교,02-441-5315,단설,885,451,434,67,4,63,2025
B000002181,서울천일초등학교,,단설,297,146,151,32,5,27,2025
B000002182,서울천호초등학교,02-470-9772,단설,569,286,283,49,4,45,2025
B000002183,서울강동초등학교,02-489-3215,단설,480,235,245,41,4,37,2025
B000002184,서울선사초등학교,02-441-3851,단설,442,233,209,36,3,33,2025
B000002185,서울신암초등학교,02-3427-0355,단설,620,329,291,49,7,42,2025
B000002186,서울신은초등학교,02-6210-0674,단설,378,204,174,39,4,35,2025
B000002187,서울목원초등학교,,단설,439,217,222,36,3,33,2025
B000002188,서울경인초등학교,,단설,1105,639,466,63,7,56,2025
B000002189,서울서정초등학교,02-2648-7002,병설,797,385,412,55,6,49,2025
B000002190,서울목운초등학교,02-2061-5213,단설,1599,790,809,77,6,71,2025
B000002191,서울계남초등학교,02-2645-4332,단설,698,356,342,48,8,40,2025
B000002192,서울은정초등학교,0226456873,단설,278,144,134,28,2,26,2025
B000002193,서울신서초등학교,02-2648-0879,단설,1110,558,552,69,6,63,2025
B000002194,서울양명초등학교,02-6119-5683,단설,572,303,269,40,5,35,2025
B000002195,서울신기초등학교,02-2601-9850,단설,329,172,157,30,5,25,2025
B000002196,서울남명초등학교,02-2607-5093,단설,445,213,232,40,6,34,2025
B000002197,서울양목초등학교,02-2603-6070,단설,475,236,239,38,8,30,2025
B000002198,서울갈산초등학교,02-2649-7233,단설,956,513,443,57,6,51,2025
B000002199,서울강신초등학교,02-2697-3036,단설,597,303,294,44,7,37,2025
B000002200,서울양화초등학교,02-2647-4360,단설,536,270,266,47,7,40,2025
B000002201,서울정목초등학교,02-2642-0850,단설,743,372,371,54,5,49,2025
B000002202,서울양원초등학교,02-2695-7694,단설,190,101,89,21,2,19,2025
B000002203,서울신원초등학교,2608-4674,단설,342,187,155,30,6,24,2025
B000002204,서울강서초등학교,02-2604-6107,단설,786,398,388,63,11,52,2025
B000002205,서울신강초등학교,02-2695-3136,단설,324,181,143,30,3,27,2025
B000002206,서울양강초등학교,02-2698-1213,단설,483,270,213,40,4,36,2025
